,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize
911,Apr,2,Monday,Toyota,Urban,Tuesday,Apr,2,Male,Single,23.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1207,1,400,3.0,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability,16035.9512627364
912,Apr,1,Wednesday,Pontiac,Urban,Tuesday,Apr,2,Female,Single,28.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1208,3,400,3.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,3854.39982237728
913,Mar,5,Friday,Mazda,Urban,Thursday,Apr,3,Male,Single,32.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1209,15,400,3.0,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,4091.221018739
914,Mar,5,Tuesday,Dodge,Urban,Tuesday,Apr,2,Male,Married,36.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1210,2,700,2.0,more than 30,more than 30,more than 4,7 years,36 to 40,Yes,No,External,more than 5,no change,1 vehicle,1994,Liability,82211.8592620639
915,Oct,3,Tuesday,Toyota,Urban,Thursday,Nov,1,Male,Married,27.0,Third Party,Sedan - Liability,Sport,20000 to 29000,0,1211,14,400,1.0,none,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,7662.46076228897
916,Sep,4,Wednesday,Honda,Urban,Wednesday,Sep,4,Male,Married,34.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1212,4,400,4.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,3480.68135539761
917,Aug,2,Friday,Toyota,Urban,Friday,Aug,2,Male,Single,26.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1214,1,400,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,3694.03865934679
918,Jul,3,Saturday,Honda,Urban,Monday,Jul,3,Male,Married,34.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1216,14,400,4.0,more than 30,more than 30,2 to 4,new,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,50650.30853896
919,Jul,3,Saturday,Pontiac,Urban,Tuesday,Aug,1,Male,Single,23.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1217,1,400,2.0,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils,95769.1448389605
920,Jul,2,Monday,Pontiac,Urban,Tuesday,Jul,2,Male,Single,35.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1218,6,400,3.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,7056.97395792325
921,Jul,1,Wednesday,Pontiac,Urban,Tuesday,Jul,2,Male,Married,30.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1219,15,400,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,4983.73957734586
922,Jul,1,Sunday,Pontiac,Urban,Tuesday,Jul,1,Male,Single,28.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1220,8,400,3.0,more than 30,more than 30,1,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1608.06793740542
923,Jun,2,Monday,Mazda,Urban,Wednesday,Jun,3,Male,Single,33.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1221,6,400,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,8045.6323616389
924,May,5,Monday,Mazda,Urban,Monday,May,5,Male,Single,33.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1222,4,400,1.0,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,7264.90238139617
925,May,5,Saturday,Toyota,Urban,Tuesday,May,5,Male,Married,32.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1223,16,400,1.0,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,34842.7834873905
926,May,1,Tuesday,Mazda,Urban,Wednesday,Dec,2,Male,Married,37.0,Policy Holder,Sport - Collision,Sport,more than 69000,0,1225,12,500,3.0,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,2 to 3 years,1 vehicle,1994,Collision,64194.6963515959
927,Apr,3,Monday,Honda,Urban,Tuesday,Apr,3,Male,Married,56.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1226,15,400,2.0,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1222.09932885799
928,Feb,2,Saturday,Ford,Urban,Monday,Feb,3,Male,Married,62.0,Third Party,Sedan - Collision,Sedan,40000 to 59000,0,1227,11,400,1.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,54233.7898232182
929,Dec,4,Saturday,Accura,Rural,Wednesday,Dec,4,Male,Married,43.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1228,10,400,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,3247.46526593564
930,Jan,4,Tuesday,Toyota,Urban,Friday,Apr,2,Female,Single,34.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1231,10,400,3.0,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,3 to 4,1994,Liability,5239.5447069837
931,Feb,2,Sunday,Mazda,Urban,Thursday,Feb,3,Male,Married,52.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,1232,8,400,3.0,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,8302.50016733429
932,Jun,5,Wednesday,Honda,Urban,Wednesday,Jul,3,Male,Married,39.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1235,9,400,3.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,1454.05881163742
933,Jun,4,Thursday,Pontiac,Urban,Friday,Jun,4,Male,Single,31.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1236,12,400,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,4660.00637949081
934,Apr,1,Saturday,Honda,Urban,Monday,Apr,1,Male,Single,38.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1238,13,400,4.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,4610.72210775824
935,Mar,5,Monday,Pontiac,Rural,Tuesday,Apr,3,Male,Married,59.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1239,6,400,2.0,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,9949.92842094464
936,Mar,4,Sunday,Pontiac,Rural,Tuesday,Apr,2,Male,Single,27.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1240,12,400,4.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,All Perils,4216.31031981101
937,Sep,2,Saturday,Honda,Urban,Monday,Apr,3,Male,Single,0.0,Policy Holder,Sport - All Perils,Sport,more than 69000,0,1244,15,400,2.0,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,54029.9466250044
938,Oct,3,Monday,Honda,Urban,Tuesday,Oct,3,Male,Married,35.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1245,15,400,3.0,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1617.7223230842
939,Jan,4,Wednesday,Honda,Urban,Monday,Jan,5,Male,Married,36.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1246,1,400,1.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,6997.51754096599
940,Jan,3,Saturday,Toyota,Urban,Monday,Jan,4,Male,Married,43.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1247,1,400,3.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,6416.09903710996
941,Mar,1,Wednesday,Accura,Urban,Wednesday,Mar,4,Male,Single,35.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1248,2,400,2.0,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,69127.7212810971
942,Feb,3,Friday,Toyota,Urban,Wednesday,Mar,1,Male,Married,61.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1249,12,400,1.0,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,8786.14841304175
943,Feb,3,Monday,Honda,Rural,Thursday,Feb,3,Male,Married,49.0,Policy Holder,Sport - Collision,Sport,more than 69000,0,1250,15,400,3.0,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,78329.3094934641
944,Jan,4,Wednesday,Toyota,Urban,Friday,Jan,5,Male,Married,44.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1251,4,400,4.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1912.67568194191
945,Jan,1,Sunday,Pontiac,Urban,Monday,Jan,2,Male,Single,30.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1252,4,400,2.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,5838.82232087484
946,Jan,1,Tuesday,Honda,Urban,Wednesday,Jan,1,Male,Single,30.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1253,5,400,4.0,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,16093.4203415371
947,Dec,1,Saturday,Chevrolet,Urban,Wednesday,Dec,2,Male,Single,29.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1256,10,400,1.0,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,52253.3952914323
948,Feb,3,Monday,Honda,Urban,Tuesday,Feb,3,Male,Single,0.0,Third Party,Sedan - All Perils,Sedan,more than 69000,0,1257,5,400,3.0,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,65937.5210164382
949,Dec,2,Tuesday,Chevrolet,Urban,Wednesday,Dec,3,Female,Single,30.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1258,8,400,4.0,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,9596.68356417949
950,Dec,2,Tuesday,Ford,Urban,Monday,Dec,3,Male,Married,60.0,Policy Holder,Utility - All Perils,Utility,30000 to 39000,0,1259,5,400,2.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,77167.2232461485
951,Aug,4,Friday,Chevrolet,Urban,Wednesday,Aug,5,Male,Married,42.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,1260,13,400,1.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,90499.9941144211
952,Sep,2,Thursday,Pontiac,Urban,Tuesday,Sep,2,Male,Married,45.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1262,7,400,1.0,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,7882.46017646513
953,Dec,1,Monday,Toyota,Urban,Tuesday,Dec,2,Male,Married,37.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1264,1,400,4.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,14103.2002696289
954,Dec,1,Sunday,Mazda,Urban,Monday,Dec,3,Male,Married,34.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1265,3,400,4.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,3272.86736104186
955,Dec,1,Tuesday,Toyota,Urban,Monday,Dec,2,Male,Single,24.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1267,3,400,4.0,more than 30,more than 30,none,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,939.34978712992
956,Dec,2,Sunday,Honda,Urban,Monday,Dec,2,Male,Married,39.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1268,3,400,3.0,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,2098.15680055013
957,Dec,3,Thursday,Pontiac,Urban,Tuesday,Dec,3,Male,Married,43.0,Third Party,Utility - All Perils,Utility,more than 69000,0,1269,13,400,4.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,82762.9468963905
958,Dec,2,Wednesday,Pontiac,Urban,Friday,Dec,3,Female,Single,27.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1270,5,400,4.0,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision,5926.3482660754
959,Dec,1,Saturday,Honda,Urban,Tuesday,Dec,3,Male,Married,27.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1273,6,400,3.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,17672.6944438516
960,Sep,4,Monday,Pontiac,Urban,Tuesday,Sep,4,Male,Married,49.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1274,4,400,1.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,2828.00133615378
961,Sep,3,Monday,Chevrolet,Urban,Wednesday,Sep,4,Male,Married,42.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1275,8,400,3.0,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,1 to 2,1 year,1 vehicle,1994,Collision,32319.9413106027
962,Feb,3,Monday,Toyota,Urban,Thursday,Feb,3,Male,Single,29.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1277,14,400,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,5670.39301379902
963,Sep,2,Saturday,Honda,Urban,Monday,Sep,2,Female,Married,61.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1278,7,400,2.0,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,2075.36417842737
964,Sep,1,Saturday,Pontiac,Urban,Monday,Sep,1,Female,Married,44.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1280,11,400,4.0,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,17223.5948486435
965,Sep,1,Tuesday,Mazda,Urban,Thursday,Sep,2,Male,Single,44.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1281,3,400,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,21043.6109070547
966,Dec,3,Sunday,Mazda,Urban,Monday,Dec,3,Male,Single,21.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1282,1,400,4.0,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,Internal,none,no change,1 vehicle,1994,Liability,22384.5766426826
967,Dec,3,Saturday,VW,Urban,Monday,Dec,3,Male,Married,46.0,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,1283,5,400,3.0,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,14294.2426982975
968,Dec,3,Friday,Pontiac,Urban,Monday,Dec,3,Male,Married,31.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1284,3,400,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,5960.7207174247
969,Dec,3,Wednesday,Accura,Urban,Thursday,Dec,5,Male,Married,39.0,Third Party,Utility - All Perils,Utility,more than 69000,0,1285,12,400,4.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,79523.4053650293
970,Dec,2,Wednesday,Ford,Urban,Tuesday,Dec,4,Female,Single,36.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1286,16,400,1.0,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,none,no change,1 vehicle,1994,Liability,53588.1053558173
971,Dec,1,Thursday,Pontiac,Urban,Thursday,Dec,5,Male,Married,42.0,Policy Holder,Utility - All Perils,Utility,40000 to 59000,0,1287,11,400,3.0,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,26270.6200869241
972,Sep,1,Friday,Pontiac,Rural,Monday,Sep,1,Male,Married,37.0,Policy Holder,Sedan - Liability,Sport,less than 20000,0,1288,11,400,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,4177.53126571269
973,Mar,1,Saturday,Mazda,Rural,Thursday,Mar,4,Male,Single,31.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1289,10,400,3.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,2779.27869040535
974,Feb,2,Thursday,Chevrolet,Urban,Monday,Feb,3,Male,Married,44.0,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,1290,4,400,4.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,11897.954943622
975,Feb,5,Monday,Mercury,Urban,Friday,Mar,1,Male,Married,49.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1291,14,400,4.0,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,10747.43822475
976,Feb,1,Friday,Pontiac,Urban,Friday,Feb,1,Female,Married,49.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1293,14,400,2.0,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,Internal,more than 5,no change,1 vehicle,1994,Liability,12124.7358073653
977,Dec,3,Tuesday,Pontiac,Urban,Tuesday,Dec,3,Male,Married,26.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1294,14,400,3.0,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,4196.33755186287
978,Mar,1,Thursday,Toyota,Urban,Thursday,Mar,1,Female,Married,33.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1295,13,400,2.0,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,6034.44687084794
979,Apr,1,Tuesday,Pontiac,Urban,Wednesday,Apr,1,Male,Married,50.0,Policy Holder,Utility - All Perils,Utility,40000 to 59000,0,1297,12,400,3.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,12119.5494356567
980,Apr,1,Saturday,Accura,Urban,Tuesday,Apr,1,Male,Married,44.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1298,9,400,4.0,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,61132.4290985962
981,Apr,1,Wednesday,Chevrolet,Urban,Thursday,Apr,2,Male,Married,50.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1300,5,400,2.0,more than 30,more than 30,1,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,6456.78736522536
982,Jun,3,Monday,Toyota,Urban,Thursday,Jun,4,Male,Married,32.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1301,13,400,3.0,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,9534.11570581194
983,Nov,2,Tuesday,Mazda,Urban,Tuesday,Nov,2,Male,Married,43.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1303,12,700,3.0,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability,37164.1443733851
984,Jan,4,Tuesday,Mazda,Urban,Friday,Mar,1,Male,Married,38.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1304,2,400,2.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,9266.56185700202
985,Dec,4,Thursday,Toyota,Urban,Thursday,Dec,4,Male,Married,55.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1305,14,400,2.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,9793.87264666032
986,May,1,Thursday,Toyota,Urban,Thursday,May,2,Male,Married,25.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1306,14,400,4.0,more than 30,more than 30,1,4 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,8867.84848976886
987,Jun,3,Thursday,Mazda,Urban,Tuesday,Jun,5,Male,Married,36.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1307,9,400,3.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,5753.11414375022
988,Jun,3,Thursday,Pontiac,Rural,Friday,Jun,3,Male,Married,28.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1308,4,400,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,7981.29890182032
989,Jul,3,Monday,Mazda,Urban,Tuesday,Sep,2,Female,Married,40.0,Third Party,Sedan - Liability,Sport,20000 to 29000,0,1309,7,400,3.0,none,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,4539.71343391293
990,Dec,4,Thursday,Ford,Urban,Thursday,Dec,4,Female,Single,50.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1312,1,400,3.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,16400.6663443534
991,Nov,3,Friday,BMW,Urban,Monday,Dec,1,Male,Married,53.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1313,4,400,4.0,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,3 to 4,1994,All Perils,4904.70329808659
992,Nov,2,Wednesday,Pontiac,Urban,Wednesday,Nov,2,Male,Married,37.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1314,2,400,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,50265.5682630134
993,Jul,5,Saturday,Chevrolet,Urban,Monday,Jul,5,Male,Single,26.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1317,10,400,3.0,more than 30,more than 30,1,7 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision,705.160854330937
994,Jul,3,Friday,Pontiac,Urban,Monday,Jul,3,Male,Married,48.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1320,2,400,4.0,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,23500.4212796158
995,Feb,3,Wednesday,Pontiac,Urban,Thursday,Feb,3,Male,Married,42.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1321,4,400,1.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,1704.64512576432
996,Jun,5,Tuesday,Honda,Urban,Wednesday,Jul,2,Male,Married,35.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1322,12,400,2.0,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,45925.8326340559
997,Jul,4,Wednesday,Pontiac,Urban,Thursday,Jul,5,Male,Married,61.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1324,12,400,2.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,7612.618943772
998,Aug,3,Wednesday,Honda,Urban,Thursday,Aug,3,Male,Married,37.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1326,12,400,3.0,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,12484.4270551265
999,Aug,3,Thursday,Pontiac,Urban,Thursday,Aug,3,Male,Married,55.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1327,14,500,4.0,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,1 to 2,2 to 3 years,1 vehicle,1994,Collision,11199.2504945741
1000,Oct,4,Monday,Mazda,Urban,Tuesday,Oct,4,Male,Married,54.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1328,4,400,1.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,3851.38407468967
1001,Feb,3,Wednesday,Honda,Urban,Tuesday,Feb,4,Male,Married,43.0,Third Party,Sport - Collision,Sport,more than 69000,0,1329,9,400,1.0,more than 30,more than 30,none,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,55057.673813401
1002,Nov,4,Tuesday,Pontiac,Urban,Wednesday,Nov,4,Male,Married,35.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1330,14,400,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,7867.73900461684
1003,Nov,3,Thursday,Toyota,Urban,Thursday,Nov,3,Male,Single,32.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1331,3,400,1.0,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,7123.15437632038
1004,May,1,Friday,Chevrolet,Urban,Monday,May,2,Male,Married,64.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1332,9,400,2.0,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,73871.3101188364
1005,May,1,Friday,Mazda,Urban,Monday,May,2,Female,Married,27.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1333,12,400,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,8203.3885879412
